prompt,answers
Привет! Я хочу заказать букет роз доставить в Питер сегодня до 15:00. Можно у вас такое оформить?,Санкт-Петербург
"Привет, хочу заказать доставку цветов в Новосибирск, сколько это будет стоить?",Новосибирск
"Здравствуйте, сколько стоит доставка цветов в г. Екатеринбурге?",Екатеринбург
"Здравствуйте, сколько стоит доставка цветов в город Екб? Нужно до завтра. Спасибо.",Екатеринбург
"Привет! Хочу заказать цветы на день рождения подруги в г. НСК, можете порекомендовать что-нибудь яркое и красивое? Спасибо!#",Новосибирск
4. Добрый день! Я бы хотел заказать цветы для своей девушки в Нижнем. Можете сделать доставку с хорошим поздравлением?,Нижний Новгород.
"Добрый день, доставка цветов в Астану возможна сегодня? Нужен букет на юбилей.",Нур-Султан
"Привет, нужно срочно заказать цветы на день рождения друга в Нижнем Новгороде, вы сможете помочь?",Нижний Новгород
"Здравствуй! Сделайте мне красивый букет роз и орхидей и доставьте в Новосибирск, пожалуйста.",Новосибирск
"Добрый день! Подскажите, пожалуйста, какие цветы у вас сейчас в наличии для доставки в С-Петербург?",Санкт-Петербург
"Привет, заказать розы в Москве, можно?",Москва
Здравствуйте. Я хочу заказать цветы в Петербурге на день рождения друга. Сколько это будет стоить и как быстро можно доставить?,Санкт-Петербург
Здравствуйте! Доставка цветов в Санкт-Петербурге - это реально? Надежно ли ваше агентство?,Санкт-Петербург
"Здравствуйте, доставка цветов в Москва нужна срочно! Сколько будет стоить доставка сегодня?",Москва
"Здравствуйте, доставите цветы в Екатеринбург вечером, чтобы удивить родных?",Екатеринбург
"Здравствуйте, я бы хотел заказать букет роз для своей девушки, живущей в Алматы. Можно ли у вас выбрать цветы и доставить их к ней домой?",Алматы
"Здравствуйте, интересует заказ цветов в Новосиб. Есть ли варианты поздравительных открыток к букетам?",Новосибирск.
"Привет, хочу заказать букет роз для мамы, доставьте пожалуйста в Новосибирск, спасибо!",Новосибирск
"Привет, мне срочно нужно заказать доставку букета лилий в Новосибирске, вы можете помочь?#",Новосибирск
"Добрый день! Хочу сделать заказ на доставку цветов в город Москва на завтра. Можно узнать, какие букеты у вас доступны?",Москва
Здравствуйте. Хочу заказать букет цветов для мамы в Новосиб. Какие у вас варианты букетов на выбор?,Новосибирск
Москва. Доставить 100 роз к 12:00. Можете сделать?,Москва
"3. Здрасте! У вас дешевые букеты цветов в Нижнем Новгороде? Покажите, что есть.",Нижний Новгород.
"Привет, я хочу купить цветы для своей девушки и доставить их в Нижний Новгород. Есть ли у вас акции или скидки на букеты? ",Нижний Новгород.
Привет! У вас можно заказать доставку цветов в Нижний Новгород сегодня? Нужен букет на юбилей.,Нижний Новгород
"Доставьте цветы в ЕКБ в субботу вечером. Подскажите, как подобрать букет для романтического вечера?",Екатеринбург
"Здрасте! Цветы нужны быстро в Питере, а то скоро мероприятие начнется! Сможете ли вы оперативно доставить?",Санкт-Петербург
"2. Здравствуйте, мне нужно срочно доставить цветы в НН. Как скоро вы сможете это сделать?",Нижний Новгород
"ЕКБ - город красивый, но надоело уже скучную серую рутину. Хочу подарить себе радость и заказать цветы. Какие у вас варианты для доставки?",Екатеринбург
"Здравствуйте, я бы хотела заказать доставку цветов в Нижний Новгород на завтра. Какие варианты у вас есть? Спасибо.",Нижний Новгород
"Привет, нужно отправить цветы в Санкт-Петербург, можно узнать стоимость доставки?",Санкт-Петербург
"Добрый день! Хочу заказать цветы для девушки, она живет в Новосибирске. Какие у вас есть варианты букетов?",Новосибирск
"Добрый день, хотелось бы приобрести тюльпаны в подарок девушке в Новосибирске, какие у вас варианты букетов?",Новосибирск
"Привет. Я очень нуждаюсь в доставке цветов в Новосибирск срочно. Пожалуйста, помогите!",Новосибирск
"Здравствуйте, хочу заказать доставку цветов в городе Новосиб. Какие у вас есть варианты и цены? Спасибо!",Новосибирск.
"Здарова, магаз, дай мне штуку цветов в Новосиб. Срочно!",Новосибирск
"Здравствуйте, я хочу сделать заказ цветов на день рождения подруги в Питере. Можно ли заказать доставку утром?",Санкт-Петербург.
"Привет, вы доставляете цветы в г. Москва? Сколько стоит доставка и какой минимальный заказ?",Москва
"Здраствуйте! Надо доставить букет цветов в Новосибирск к 18:00 сегодня, возможно ли это?",Новосибирск
"Здравствуйте, хочу заказать доставку цветов в городе Екатеринбург. Сколько стоит букет?",Екатеринбург
"Здравствуйте, хочу заказать доставку цветов в г. Питер. Какие у вас есть варианты букетов для подруги?",Санкт-Петербург
"Здравствуйте, хочу заказать доставку цветов в г. Екатеринбург. Какие у вас есть варианты букетов?",Екатеринбург
"Привет, мне срочно нужно заказать цветы в Нижний Новгород для извинения. Можете помочь с выбором букета и быстрой доставкой? Спасибо.",Нижний Новгород
Добрый день! Я бы хотела заказать доставку цветов в городе Москва. Можно узнать о способах оплаты?,Москва
"Здравствуйте, я хочу заказать букет роз с доставкой в городе Москве. Какие варианты у вас есть?",Москва
Привет! Я хочу заказать доставку цветов в Нур-Султан. Какие у вас варианты букетов?,Нур-Султан
"Добрый день, хочу заказать розы для своей мамы в СПб. Как быстро можно осуществить доставку?",Санкт-Петербург
"Привет, хочу заказать доставку цветов в Москве. Какие у вас есть варианты и цены?",Москва
"Здравствуйте, интересует доставка цветов в СПб на 14 февраля. Можете предложить что-то романтическое и красивое? Спасибо!",Санкт-Петербург
"Здравствуйте, мне нужно доставить цветы в Нижний Новгород завтра утром. Это возможно? Сколько это будет стоить? Спасибо.",Нижний Новгород
Добрый день. Хочу заказать букет роз на свадебный юбилей в Нижнем Новгороде. Сколько это будет стоить? Спасибо.,Нижний Новгород.
"Здравствуйте, почему так долго не отвечаете? Я хочу заказать букет цветов в вашем магазине в Санкт-Петербурге на пятницу.",Санкт-Петербург
"Добрый день, хочу сделать заказ букета в Санкт-Петербурге на 8 марта. Какие у вас есть варианты и цены? Спасибо!",Санкт-Петербург
"Хей, хочу заказать цветы в Екб на день рождения подруги. Можно сделать красивый букет?",Екатеринбург
"Здравствуйте! Я хочу заказать цветы в НСК, но у меня ограничен бюджет. Можете предложить варианты до 1000 рублей?",Новосибирск
"ЕКБ: я готовлюсь к свадьбе и хочу заказать букет для невесты. Подскажите, какие варианты есть и сколько стоит доставка?#",Екатеринбург
"Здравствуйте, хочу заказать доставку цветов в г. Астана на завтра. Какие у вас есть варианты и цены? Спасибо!",Нур-Султан
"Добрый день, сколько будет стоить доставка цветов в Екатеринбурге на следующей неделе?#",Екатеринбург
"Привет, мне нужен букет на день рождения друга, доставьте его в Екатеринбург, пожалуйста.",Екатеринбург
Здравствуйте. Я хочу отправить цветы в подарок в СПб. Можете ли вы помочь с выбором и оформлением заказа?,Санкт-Петербург
"Здравствуйте, я хочу заказать доставку цветов в г. Нур-Султан. Есть ли у вас возможность доставки сегодня вечером?",Нур-Султан
"Привет, а можно у вас заказать доставку цветов в Новосиб на завтра? Сколько стоит? Спасибо!#",Новосибирск
"Здравствуйте, нужен букет на юбилей, в г. Екатеринбург. Могу я выбрать сам или вы порекомендуете варианты?",Екатеринбург
Добрый вечер. Я бы хотел заказать доставку цветов в городе Новосибирск на завтра к утру. Это возможно? Спасибо.,Новосибирск
5. Здравствуйте. Как происходит оплата доставки цветов в Нижнем Новгороде? Нужно ли предварительно оплатить или можно на месте?#,Нижний Новгород
Добрый вечер. Хочу заказать букет роз для девушки в Мск. Можно добавить плюшевого мишку к заказу? Сколько это будет стоить? Спасибо!,Москва
"Добрый день, я бы хотела заказать доставку цветов в городе Екатеринбург на завтра. Можете подсказать, какие у вас есть букеты в наличии?",Екатеринбург
"1 цветок в Новосибирске, сколько будет стоить?",Новосибирск
Привет! Нужна доставка цветов в Алм. Хочу порадовать свою девушку. Какие у вас варианты букетов?,Алмата
Привет! Я хочу заказать букет роз на доставку в ЕКБ. Сколько это будет стоить?,Екатеринбург
"Доставка цветов в Москве - это плохо работает у вас или все-таки есть шанс, что цветы доедут вовремя?",Москва
Добрый день! Нужно срочно доставить цветы в Москву! Как быстро вы сможете это сделать и сколько будет стоить? Спасибо!,Москва
"Привет, доставка цветов в екб возможна сегодня?",Екатеринбург
Добрый день! Сколько стоит доставка цветов в вашем магазине в Нижний Новгород?,Нижний Новгород
"Привет, хочу заказать доставку цветов в екат, сколько это будет стоить и когда можно доставить?",Екатеринбург
"Здравствуйте, хочу заказать доставку цветов в МСК. Какие у вас есть варианты букетов?",Москва.
Здравствуйте. Я хочу заказать доставку цветов в Нижний Новгород для своей мамы. Как быстро вы сможете доставить букет ромашек? ,Нижний Новгород.
"Хей, отправьте цветы в Москву, пожалуйста.",Москва
Добрый день! Хочу заказать цветы в город мск. У вас есть букеты с герберами? И какие условия доставки? Спасибо!#,Москва
"Уточните пожалуйста, цены на доставку цветов в Москве. Спасибо!#",Москва
"Добрый вечер, я хочу сделать заказ на сегодня в Нижнем Новгороде. Цветы нужны на юбилей. Надеюсь, вы сможете доставить в срок.",Нижний Новгород
"Добрый день, хочу отправить цветы в город Екатеринбург, как это сделать?",Екатеринбург
"Добрый день, хочу заказать цветы в Новосиб, доставку сделать в понедельник. Какова стоимость и какие варианты букетов у вас есть?",Новосибирск
Здравствуйте! Хочу заказать доставку цветов в г. мск. Какие у вас варианты букетов на выбор? Спасибо!,Москва
"Здравствуйте! Я уже несколько раз заказывала у вас цветы и хочу выразить свою благодарность за качественное обслуживание. Скажите, можно ли сделать доставку цветов сегодня в Н.Новгород? ",Нижний Новгород
Здравствуйте. Мне нужна доставка цветочного букета в Санкт-Петербург на завтра. Как быстро можно оформить заказ?,Санкт-Петербург
Добрый день! Я бы хотела заказать доставку букета роз в город Нижний Новгород. Можете подсказать какие у вас есть варианты и цены? Спасибо! ,Нижний Новгород
"Привет, хочу заказать доставку цветов в СПб завтра к вечеру. Можно узнать, какие у вас есть варианты букетов и цены? Спасибо!",Санкт-Петербург
"Привет, мне нужен красивый букет для свадьбы в Екатеринбурге, поможете подобрать?",Екатеринбург
"Привет, я хочу заказать букет цветов для своей девушки в Санкт-Петербурге. Что можете посоветовать?",Санкт-Петербург
"Добрый день! Хочу заказать цветы для девушки в екат, но не знаю, какие она любит. Поможете подобрать?",Екатеринбург
"Здравствуйте, хочу заказать цветы на день рождения в Маскве. Какие у вас варианты и цены?",Москва
1. Здравствуйте! Я хочу сделать заказ на доставку цветов в Нижнем Новгороде. Какие у вас есть варианты букетов на выбор?,Нижний Новгород
"Здравствуйте, сколько стоит доставка цветов в МСК?",Москва
Здравствуйте! Хочу заказать доставку цветов в г. Нижний Новгород на завтра. Какие у вас варианты букетов?,Нижний Новгород
"Здравствуйте, пожалуйста, доставьте цветы в Екатеринбург на завтра, это возможно?",Екатеринбург
"Привет, заказываю у вас первый раз. Доставка цветов в Нижнем Новгороде точно будет? Чтобы не было потом недоразумений.",Нижний Новгород
Привет! Я хочу заказать доставку цветов в Санкт-Петербург. Какие у вас есть букеты на выбор?,Санкт-Петербург
Здравствуйте! Я хотел бы заказать доставку цветов в СПБ на завтра. Возможно ли это?,Санкт-Петербург
Здравствуйте! Буду в ЕКБ на следующей неделе и хочу удивить подругу букетом цветов. Можно оформить заказ заранее?,Екатеринбург
"Привет, отправьте цветы в СПб, очень нужно поднять настроение девушке. Какие у вас расцветки роз?#",Санкт-Петербург
"Добрый вечер, хочу купить букет цветов для Москвы. Какие у вас есть варианты?",Москва
"Здравствуйте, хочу заказать букет роз для мамы в Новосибирск, можно ли сделать доставку сегодня?",Новосибирск
"Здраствуйте, вы можете доставить цветы в Новосибирск прямо сейчас?",Новосибирск
"Привет, нужно доставить цветы в Новосиб, пожалуйста, подскажите, сколько времени займет доставка?",Новосибирск
"Здравствуйте, сколько стоит доставка цветов в Новосибирск?",Новосибирск
Здравствуйте. Хочу заказать букет на день рождения подруги. Как быстро можно сделать доставку в Москве?,Москва
"Добрый день, мне нужно доставить цветы в г. Екб завтра утром. Какой у вас выбор букетов?",Екатеринбург
"Добрый день, хочу заказать розы в Екатеринбурге для своей девушки, у вас есть какие-то акции?",Екатеринбург
"Привет, хочу заказать доставку цветов в Новосиб. Какие у вас варианты букетов и цены?",Новосибирск
"Здравствуйте, заказываю цветы в Петербурге. Надеюсь, что качество букета будет на высоте!",Санкт-Петербург
Хотел бы послать цветы в МСК. Как это сделать?,Москва
Здравствуйте. Я бы хотел сделать заказ на доставку цветов в г Нижний Новгород. У вас есть розы?,Нижний Новгород.
"Здравствуйте! Хочу заказать доставку цветов в Новосибирск, можно узнать условия и цены? Спасибо!",Новосибирск
Привет! Доставка цветов в городе Нижний-Новгород только до 15:00?,Нижний Новгород
"Привет, доставите букет роз в г. екат? Срочно нужно, можно ли сегодня?",Екатеринбург
"Привет, сколько стоит доставка цветов в г. нижний новгород? Хочу заказать букет на свадьбу сестры.",Нижний Новгород
"Хочу цветы в Новосибирске. Скорее быстро сделайте доставку, сегодня нужно!",Новосибирск
Здравствуйте! Хочу заказать букет роз с доставкой в г. Алм. Возможно ли это сегодня?,Алматы
Здравствуйте. Я хочу заказать цветы в Москву на день рождения. Какие у вас есть букеты на выбор? Спасибо!#,Москва
